iter	Passed	Remaining
420	2111	12931
421	2113	12913
422	2118	12904
423	2126	12920
424	2130	12907
425	2133	12889
426	2135	12871
427	2138	12850
428	2141	12836
429	2144	12819
430	2149	12809
431	2153	12798
432	2157	12793
433	2161	12782
434	2166	12776
435	2171	12772
436	2177	12768
437	2181	12758
438	2186	12754
439	2192	12754
440	2196	12747
441	2200	12732
442	2204	12725
443	2214	12750
444	2220	12749
445	2224	12738
446	2229	12733
447	2234	12730
448	2239	12722
449	2245	12724
450	2250	12721
451	2254	12706
452	2259	12704
453	2262	12687
454	2265	12669
455	2267	12652
456	2271	12641
457	2276	12637
458	2281	12630
459	2285	12618
460	2292	12623
461	2301	12645
462	2304	12628
463	2308	12618
464	2312	12606
465	2319	12613
466	2326	12616
467	2328	12599
468	2331	12581
469	2334	12566
470	2338	12554
471	2341	12541
472	2347	12541
473	2352	12538
474	2359	12541
475	2362	12526
476	2366	12516
477	2372	12515
478	2378	12516
479	2382	12506
480	2385	12490
481	2388	12478
482	2392	12465
483	2395	12452
484	2400	12449
485	2404	12439
486	2410	12437
487	2413	12421
488	2415	12402
489	2417	12385
490	2420	12366
491	2423	12352
492	2427	12343
493	2432	12339
494	2438	12338
495	2443	12333
496	2450	12341
497	2454	12330
498	2456	12313
499	2460	12304
500	2465	12299
501	2471	12298
502	2475	12288
503	2480	12284
504	2484	12273
505	2487	12261
506	2491	12251
507	2494	12238
508	2499	12232
509	2504	12225
510	2508	12217
511	2512	12208
512	2516	12199
513	2520	12191
514	2536	12239
515	2540	12229
516	2543	12216
517	2549	12214
518	2552	12203
519	2556	12190
520	2559	12177
521	2564	12173
522	2569	12168
523	2579	12190
524	2584	12183
525	2587	12168
526	2591	12159
527	2595	12152
528	2599	12140
529	2604	12138
530	2608	12129
531	2613	12122
532	2615	12105
533	2627	12131
534	2630	12119
535	2633	12105
536	2637	12097
537	2640	12084
538	2644	12073
539	2648	12066
540	2651	12050
541	2653	12035
542	2656	12020
543	2659	12005
544	2661	11986
545	2663	11969
546	2670	11974
547	2676	11974
548	2701	12062
549	2710	12072
550	2721	12095
551	2728	12099
552	2737	12111
553	2746	12127
554	2754	12135
555	2758	12124
556	2762	12116
557	2773	12137
558	2781	12145
559	2786	12141
560	2790	12133
561	2795	12126
562	2799	12119
563	2803	12107
564	2806	12095
565	2809	12082
566	2813	12073
567	2816	12060
568	2819	12044
569	2821	12028
570	2826	12021
571	2831	12019
572	2837	12017
573	2839	12001
574	2842	11985
575	2849	11991
576	2858	12005
577	2871	12034
578	2874	12020
579	2877	12006
580	2881	11995
581	2884	11984
582	2888	11974
583	2891	11963
584	2905	11993
585	2909	11983
586	2914	11978
587	2917	11968
588	2920	11954
589	2923	11943
590	2926	11929
591	2943	11972
592	2960	12015
593	2973	12044
594	2977	12033
595	2980	12020
596	2983	12008
597	2985	11991
598	2987	11976
599	2990	11963
600	2993	11949
601	2999	11948
602	3019	12000
603	3021	11986
604	3026	11981
605	3029	11967
606	3033	11957
607	3036	11947
608	3039	11931
609	3043	11923
610	3078	12036
611	3082	12028
612	3085	12013
613	3087	11999
614	3092	11991
615	3100	12000
616	3107	12002
617	3110	11988
618	3113	11975
619	3116	11964
620	3119	11950
621	3122	11938
622	3125	11923
623	3128	11910
624	3131	11898
625	3137	11898
626	3140	11886
627	3144	11875
628	3147	11864
629	3150	11851
630	3152	11836
631	3155	11824
632	3158	11811
633	3164	11810
634	3170	11808
635	3173	11796
636	3177	11787
637	3184	11789
638	3187	11775
639	3189	11760
640	3192	11749
641	3198	11746
642	3204	11747
643	3207	11733
644	3209	11719
645	3212	11706
646	3219	11708
647	3221	11694
648	3224	11681
649	3227	11670
650	3232	11663
651	3237	11659
652	3239	11645
653	3242	11632
654	3245	11619
655	3250	11613
656	3252	11600
657	3255	11585
658	3264	11595
659	3269	11592
660	3272	11579
661	3275	11567
662	3278	11555
663	3281	11543
664	3283	11527
665	3286	11516
666	3288	11503
667	3293	11496
668	3301	11504
669	3304	11490
670	3307	11480
671	3311	11470
672	3313	11458
673	3316	11446
674	3319	11434
675	3339	11481
676	3342	11470
677	3347	11464
678	3349	11450
679	3354	11444
680	3357	11433
681	3362	11427
682	3365	11418
683	3370	11411
684	3372	11397
685	3374	11382
686	3376	11367
687	3378	11353
688	3381	11342
689	3384	11331
690	3388	11321
691	3393	11317
692	3397	11309
693	3408	11325
694	3410	11310
695	3414	11301
696	3417	11292
697	3420	11280
698	3425	11277
699	3430	11270
700	3434	11263
701	3437	11252
702	3440	11242
703	3445	11236
704	3448	11226
705	3451	11214
706	3454	11203
707	3457	11194
708	3463	11192
709	3467	11184
710	3470	11173
711	3474	11163
712	3478	11158
713	3480	11144
714	3485	11140
715	3489	11129
716	3500	11146
717	3504	11138
718	3507	11125
719	3526	11167
720	3533	11168
721	3543	11179
722	3548	11174
723	3553	11172
724	3557	11163
725	3565	11167
726	3568	11157
727	3572	11148
728	3576	11143
729	3579	11131
730	3633	11279
731	3637	11271
732	3640	11259
733	3650	11268
734	3653	11257
735	3659	11257
736	3661	11243
737	3665	11235
738	3667	11222
739	3670	11211
740	3674	11202
741	3693	11238
742	3696	11228
743	3699	11218
744	3702	11205
745	3708	11206
746	3712	11196
747	3715	11186
748	3719	11177
749	3722	11168
750	3736	11190
751	3744	11192
752	3747	11182
753	3752	11177
754	3765	11196
755	3769	11187
756	3785	11216
757	3788	11206
758	3792	11197
759	3796	11190
760	3801	11183
761	3804	11174
762	3809	11169
763	3813	11160
764	3816	11149
765	3819	11139
766	3823	11132
767	3826	11121
768	3828	11107
769	3831	11095
770	3833	11083
771	3838	11077
772	3841	11067
773	3844	11057
774	3848	11049
775	3854	11047
776	3857	11035
777	3863	11033
778	3865	11022
779	3868	11010
780	3872	11001
781	3882	11013
782	3898	11038
783	3902	11029
784	3905	11019
785	3909	11013
